,date,incident_id,state,n_killed,n_injured,total
130448,2016-06-12,577157,Florida,50,53,103
217151,2017-11-05,980577,Texas,27,20,47
101531,2015-12-02,456893,California,16,19,35
232745,2018-02-14,1049217,Florida,17,17,34
70511,2015-05-17,341622,Texas,9,18,27
195845,2017-07-01,879953,Arkansas,0,25,25
137328,2016-07-25,611479,Florida,2,19,21
11566,2014-04-02,121031,Texas,4,16,20
73,2013-05-12,486209,Louisiana,0,19,19
92624,2015-10-01,423223,Oregon,10,9,19
218580,2017-11-14,987611,California,6,12,18
239,2013-11-09,493842,Texas,2,16,18
113601,2016-02-25,511436,Kansas,4,14,18
178245,2017-03-26,803054,Ohio,2,15,17
100149,2015-11-22,451495,Louisiana,0,17,17
229405,2018-01-23,1033262,Kentucky,2,14,16
39222,2014-09-28,197384,Florida,0,15,15
135757,2016-07-16,604233,California,1,14,15
151406,2016-10-15,676663,California,4,11,15
134393,2016-07-07,597756,Texas,5,9,14
194,2013-09-16,480366,District of Columbia,11,3,14
142107,2016-08-21,634787,Connecticut,0,13,13
34,2013-03-11,482771,District of Columbia,0,13,13
213,2013-10-05,480765,California,1,12,13
81229,2015-07-23,380162,Louisiana,3,9,12
100823,2015-11-27,454059,Colorado,3,9,12
206418,2017-08-31,924854,Illinois,2,10,12
18242,2014-05-23,138282,California,4,8,12
200,2013-09-19,480521,Illinois,0,12,12
75905,2015-06-20,361212,Michigan,1,11,12
189725,2017-05-28,853901,Alabama,0,12,12
6831,2014-02-20,108626,Florida,0,12,12
111214,2016-02-07,501233,Florida,2,10,12
83892,2015-08-08,390774,Arkansas,1,11,12
165585,2017-01-06,743995,Florida,5,6,11
75984,2015-06-20,361198,Pennsylvania,0,11,11
144774,2016-09-04,647865,Virginia,1,10,11
238,2013-11-07,493035,Michigan,3,7,10
92038,2015-09-27,421014,Georgia,0,10,10
158699,2016-11-27,711597,Louisiana,1,9,10
185933,2017-05-07,838272,Illinois,2,8,10
23794,2014-06-29,152468,Louisiana,1,9,10
207904,2017-09-10,930569,Texas,9,1,10
168924,2017-01-27,761973,Tennessee,0,10,10
188392,2017-05-20,848292,Pennsylvania,0,10,10
75530,2015-06-17,359830,South Carolina,9,0,9
78318,2015-07-05,368732,Indiana,0,9,9
50790,2014-12-21,266424,Illinois,1,8,9
82961,2015-08-02,385779,New York,0,9,9
214815,2017-10-22,966178,Alabama,2,7,9
150357,2016-10-09,672203,Michigan,1,8,9
146810,2016-09-17,657634,District of Columbia,2,7,9
50902,2014-12-22,268394,Florida,0,9,9
23099,2014-06-24,150299,Florida,2,7,9
58843,2015-02-26,298122,Missouri,8,1,9
115010,2016-03-06,517073,California,1,8,9
182323,2017-04-16,821371,Ohio,0,9,9
197098,2017-07-08,886220,Ohio,1,8,9
30692,2014-08-09,171802,Minnesota,1,8,9
111,2013-06-23,489105,Missouri,1,8,9
192357,2017-06-11,864743,Illinois,0,9,9
119,2013-06-30,490226,New York,0,9,9
189720,2017-05-27,853756,Mississippi,8,1,9
210255,2017-09-24,940554,Tennessee,1,8,9
74578,2015-06-11,356065,Connecticut,1,8,9
37527,2014-09-18,192851,Florida,8,0,8
128321,2016-05-29,567614,Texas,2,6,8
15536,2014-05-03,131998,Arkansas,4,4,8
