,incident_id,state,n_killed,n_injured,source_url,latitude,longitude
3,478925,Colorado,4,0,http://www.dailydemocrat.com/20130106/aurora-shootout-killer-was-frenetic-talented-neighbor-says,39.6518,-104.802
5,478948,Oklahoma,4,0,http://usnews.nbcnews.com/_news/2013/01/07/16397584-police-four-women-found-dead-in-tulsa-okla-apartment?lite,36.2405,-95.9768
6,479363,New Mexico,5,0,http://hinterlandgazette.com/2013/01/pastor-greg-griego-identified-victims-killed-nehemiah-griego-albuquerque-nm-shooting.html,34.9791,-106.716
21,480344,Utah,4,1,,40.6008,-111.903
22,480358,California,4,3,http://www.dailymail.co.uk/news/article-2281171/California-shooting-suspect-Ali-Syed-gunned-woman-bloody-25-minute-murder-spree.html,33.8031,-117.943
36,482856,New York,6,2,http://www.syracuse.com/news/index.ssf/2013/03/herkimer_county_fatal_shooting.html,43.011,-75.0058
53,484317,Ohio,4,0,http://www.huffingtonpost.com/2013/04/19/ohio-basement-murders-cop_n_3114243.html,41.1102,-81.4771
54,484333,Washington,5,0,http://blogs.seattletimes.com/today/2013/04/5-dead-in-federal-way-shooting/,47.303,-122.31
57,485811,Illinois,6,1,http://fox2now.com/2013/04/25/family-needs-help-to-bury-manchester-il-shooting-victims/,39.5417,-90.3301
69,486142,Indiana,5,0,http://article.wn.com/view/2015/02/25/Samuel_Sallee_found_guilty_in_Waynesville_quadruple_murder/,39.1149,-85.8929
95,489581,California,6,1,http://www.huffingtonpost.com/2013/06/07/santa-monica-college-shooting_n_3404689.html,34.026,-118.461
122,490245,Texas,4,0,http://crimeblog.dallasnews.com/2013/07/man-arrested-in-connection-with-three-shooting-deaths-in-fort-worth.html/,32.7157,-97.2597
150,491253,West Virginia,4,0,http://www.wboy.com/story/22937993/3-dead-and-one-transported-to-the-hosptal,39.2832,-80.3488
151,491265,Florida,7,0,https://en.wikipedia.org/wiki/2013_Hialeah_shooting,25.864,-80.3122
163,491698,Texas,4,4,http://crimeblog.dallasnews.com/2013/08/desoto-police-10-year-old-son-of-slain-shooting-victim-identified-erbie-lee-bowser-as-gunman.html/,32.6412,-96.9481
169,492001,Oklahoma,4,0,http://www.koco.com/news/oklahomanews/okc/father-daniel-green-capable-of-killing-his-family/21560934,35.3867,-97.4356
181,492276,Florida,4,1,http://www.usatoday.com/story/news/nation/2013/08/28/workplace-shooting-florida/2712227/,30.0194,-82.3278
188,479747,Tennessee,4,0,http://www.wsmv.com/story/23415177/4-people-found-dead-inside-car-in-cumberland-county,35.9576,-84.8407
